====================================================
                MCHammer optimisation               
                ---------------------               
                    Andrew Tarzia                   
                ---------------------               
                                                    
Settings:                                           
 step size = 0.25 
 target bond length = 1.2 
 num. steps = 500 
 bond epsilon = 50 
 nonbond epsilon = 20 
 nonbond sigma = 1.2 
 nonbond mu = 3 
 beta = 2 
====================================================

There are 12 bonds to optimize.
There are 10 sub units with N atoms:
[8, 8, 8, 8, 8, 16, 14, 14, 14, 14]
====================================================
                 Running optimisation!              
====================================================

step system_potential nonbond_potential max_dist opt_bbs updated?
0 15708.713386394982 3279.637355631582 6.5907833280984365 -- --
1 15708.713386394982 3279.637355631582 6.5907833280984365 (11, 70) F
2 15708.713386394982 3279.637355631582 6.5907833280984365 (10, 84) F
3 14795.976514289307 3284.9883994654488 6.5907833280984365 (19, 75) T
4 14795.976514289307 3284.9883994654488 6.5907833280984365 (16, 44) F
5 14795.976514289307 3284.9883994654488 6.5907833280984365 (27, 103) F
6 14795.976514289307 3284.9883994654488 6.5907833280984365 (10, 84) F
7 14795.976514289307 3284.9883994654488 6.5907833280984365 (2, 40) F
8 14108.349949871681 3289.444074858085 6.5907833280984365 (24, 61) T
9 14108.349949871681 3289.444074858085 6.5907833280984365 (3, 56) F
10 14108.349949871681 3289.444074858085 6.5907833280984365 (20, 98) F
11 14108.349949871681 3289.444074858085 6.5907833280984365 (8, 35) F
12 14101.815469375764 3289.1095485734922 6.5907833280984365 (3, 56) T
13 14101.815469375764 3289.1095485734922 6.5907833280984365 (0, 32) F
14 14101.815469375764 3289.1095485734922 6.5907833280984365 (0, 32) F
15 14101.815469375764 3289.1095485734922 6.5907833280984365 (10, 84) F
16 14096.60884453218 3293.0327276781236 6.5907833280984365 (27, 103) T
17 12997.015924796106 3297.997102217152 6.5907833280984365 (8, 35) T
18 12997.015924796106 3297.997102217152 6.5907833280984365 (3, 56) F
19 12997.015924796106 3297.997102217152 6.5907833280984365 (0, 32) F
20 12997.015924796106 3297.997102217152 6.5907833280984365 (19, 75) F
21 12035.487570428213 3302.166448193965 5.56277065970456 (0, 32) T
22 12035.487570428213 3302.166448193965 5.56277065970456 (8, 35) F
23 12035.487570428213 3302.166448193965 5.56277065970456 (2, 40) F
24 12035.487570428213 3302.166448193965 5.56277065970456 (16, 44) F
25 12035.487570428213 3302.166448193965 5.56277065970456 (2, 40) F
26 11844.011252553737 3303.7766753209235 5.56277065970456 (28, 89) T
27 11844.011252553737 3303.7766753209235 5.56277065970456 (2, 40) F
28 11844.011252553737 3303.7766753209235 5.56277065970456 (10, 84) F
29 11844.011252553737 3303.7766753209235 5.56277065970456 (0, 32) F
30 11844.011252553737 3303.7766753209235 5.56277065970456 (20, 98) F
31 11844.011252553737 3303.7766753209235 5.56277065970456 (27, 103) F
32 11844.011252553737 3303.7766753209235 5.56277065970456 (3, 56) F
33 11250.858265950414 3309.1856334198587 5.306644986057805 (0, 32) T
34 11247.17696636973 3309.0936177535855 5.306644986057805 (0, 32) T
35 10479.137204257282 3317.7563003563255 5.291544267786765 (20, 98) T
36 10340.674250436527 3318.8147439505265 5.291544267786765 (11, 70) T
37 10340.674250436527 3318.8147439505265 5.291544267786765 (24, 61) F
38 10341.011946415056 3318.0576876912833 5.291544267786765 (19, 75) T
39 10341.011946415056 3318.0576876912833 5.291544267786765 (27, 103) F
40 10290.270915264264 3329.926756438908 5.291544267786765 (19, 75) T
41 10148.481729240735 3340.393469605059 5.198092131541879 (16, 44) T
42 10148.481729240735 3340.393469605059 5.198092131541879 (10, 84) F
43 10148.481729240735 3340.393469605059 5.198092131541879 (2, 40) F
44 9488.415051026765 3358.4590520872316 5.198092131541879 (16, 44) T
45 9488.415051026765 3358.4590520872316 5.198092131541879 (0, 32) F
46 9488.415051026765 3358.4590520872316 5.198092131541879 (20, 98) F
47 9488.415051026765 3358.4590520872316 5.198092131541879 (20, 98) F
48 9488.415051026765 3358.4590520872316 5.198092131541879 (19, 75) F
49 9488.415051026765 3358.4590520872316 5.198092131541879 (8, 35) F
50 9488.415051026765 3358.4590520872316 5.198092131541879 (2, 40) F
51 9148.790790004288 3394.0583477128716 5.198092131541879 (20, 98) T
52 9148.790790004288 3394.0583477128716 5.198092131541879 (27, 103) F
53 9148.790790004288 3394.0583477128716 5.198092131541879 (20, 98) F
54 9098.082465167558 3389.35262509359 5.198092131541879 (11, 70) T
55 9098.082465167558 3389.35262509359 5.1980921315418795 (24, 61) F
56 9098.082465167558 3389.35262509359 5.1980921315418795 (2, 40) F
57 9098.082465167558 3389.35262509359 5.1980921315418795 (19, 75) F
58 9098.81012067072 3391.973361221151 5.1980921315418795 (16, 44) T
59 9004.811411191125 3398.5913096596614 5.126043665097079 (24, 61) T
60 9004.811411191125 3398.5913096596614 5.126043665097079 (19, 75) F
61 9004.811411191125 3398.5913096596614 5.126043665097079 (11, 70) F
62 9004.811411191125 3398.5913096596614 5.126043665097079 (20, 98) F
63 9004.811411191125 3398.5913096596614 5.126043665097079 (24, 61) F
64 9004.811411191125 3398.5913096596614 5.126043665097079 (27, 103) F
65 9004.811411191125 3398.5913096596614 5.126043665097079 (27, 103) F
66 7835.924381532138 3416.4510099386457 5.126043665097079 (24, 61) T
67 7726.123014588156 3408.4382325202996 5.126043665097079 (11, 70) T
68 7726.123014588156 3408.4382325202996 5.126043665097079 (20, 98) F
69 7726.123014588156 3408.4382325202996 5.126043665097079 (24, 61) F
70 7726.123014588156 3408.4382325202996 5.126043665097079 (3, 56) F
71 7726.123014588156 3408.4382325202996 5.126043665097079 (24, 61) F
