====================================================
                MCHammer optimisation               
                ---------------------               
                    Andrew Tarzia                   
                ---------------------               
                                                    
Settings:                                           
 step size = 0.25 
 target bond length = 1.2 
 num. steps = 100 
 bond epsilon = 50 
 nonbond epsilon = 20 
 nonbond sigma = 1.2 
 nonbond mu = 3 
 beta = 2 
====================================================

There are 2 bonds to optimize.
There are 2 sub units with N atoms:
[6, 6]
====================================================
                 Running optimisation!              
====================================================

step system_potential nonbond_potential max_dist opt_bbs updated?
0 4379.297049467513 261.7353960302807 7.616822931511537 -- --
1 4091.67422127126 261.87843974354166 7.388534383460852 [2 3] T
2 3961.376436195382 261.9502272778352 7.282290858646557 [2 3] T
3 3961.376436195382 261.9502272778352 7.282290858646557 [2 3] F
4 3218.0345009216144 262.4736143091456 6.636507046452224 [1 5] T
5 3218.0345009216144 262.4736143091456 6.636507046452224 [1 5] F
6 3218.0345009216144 262.4736143091456 6.636507046452224 [1 5] F
7 3218.0345009216144 262.4736143091456 6.636507046452224 [1 5] F
8 3218.0345009216144 262.4736143091456 6.636507046452224 [1 5] F
9 3218.0345009216144 262.4736143091456 6.636507046452224 [1 5] F
10 3218.0345009216144 262.4736143091456 6.636507046452224 [2 3] F
11 3218.0345009216144 262.4736143091456 6.636507046452224 [1 5] F
12 2212.4656797405137 263.74981093954824 5.614426201445625 [2 3] T
13 2212.4656797405137 263.74981093954824 5.614426201445625 [1 5] F
14 2212.4656797405137 263.74981093954824 5.614426201445625 [1 5] F
15 2212.4656797405137 263.74981093954824 5.614426201445625 [1 5] F
16 1962.7689987930953 264.271035350588 5.321283736219223 [1 5] T
17 1962.7689987930953 264.271035350588 5.321283736219223 [1 5] F
18 1962.7689987930953 264.271035350588 5.321283736219223 [1 5] F
19 1962.7689987930953 264.271035350588 5.321283736219223 [2 3] F
20 1558.0292686007565 265.4748811629416 4.795211241968704 [2 3] T
21 867.1766650082209 270.2487808044315 3.6432107649643926 [2 3] T
22 867.1766650082209 270.2487808044315 3.6432107649643926 [2 3] F
23 808.4656819974791 271.06735872842125 3.51818533182543 [2 3] T
24 520.6160716350875 278.63347503901156 2.755578980945924 [2 3] T
25 520.6160716350875 278.63347503901156 2.755578980945924 [1 5] F
26 447.3939070680488 283.10483871636205 2.481752972891761 [2 3] T
27 447.3939070680488 283.10483871636205 2.481752972891761 [1 5] F
28 400.5880635608102 287.87464459134077 2.2616657617605904 [2 3] T
29 382.48397416480026 290.5991264249964 2.1585658440597797 [2 3] T
30 349.4109545476567 298.95975035050384 1.9102901111317323 [1 5] T
31 331.5595835887438 313.24372966845186 1.6279702550445765 [1 5] T
32 331.5595835887438 313.24372966845186 1.6279702550445765 [1 5] F
33 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
34 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
35 331.5595835887438 313.24372966845186 1.6279702550445765 [1 5] F
36 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
37 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
38 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
39 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
40 331.5595835887438 313.24372966845186 1.6279702550445765 [1 5] F
41 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
42 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
43 331.5595835887438 313.24372966845186 1.6279702550445765 [2 3] F
44 331.51222630193007 313.38364355346863 1.6257767343157845 [1 5] T
45 331.51222630193007 313.38364355346863 1.6257767343157845 [2 3] F
46 331.51222630193007 313.38364355346863 1.6257767343157845 [1 5] F
47 331.51222630193007 313.38364355346863 1.6257767343157845 [1 5] F
48 331.51222630193007 313.38364355346863 1.6257767343157845 [1 5] F
49 331.51222630193007 313.38364355346863 1.6257767343157845 [2 3] F
50 330.8107771394433 318.4025077323622 1.5522537353539496 [1 5] T
51 331.0299179982703 315.2583747450328 1.5971340233880431 [1 5] T
52 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
53 331.0299179982703 315.2583747450328 1.5971340233880436 [2 3] F
54 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
55 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
56 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
57 331.0299179982703 315.2583747450328 1.5971340233880436 [2 3] F
58 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
59 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
60 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
61 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
62 331.0299179982703 315.2583747450328 1.5971340233880436 [2 3] F
63 331.0299179982703 315.2583747450328 1.5971340233880436 [1 5] F
64 331.3827788805826 313.7768850346954 1.6195937779077185 [1 5] T
65 331.0479133478907 320.7054855931266 1.5215964513915559 [1 5] T
66 330.89391471545554 316.05390592137275 1.585227319826655 [1 5] T
67 330.89391471545554 316.05390592137275 1.585227319826655 [2 3] F
68 330.89391471545554 316.05390592137275 1.585227319826655 [1 5] F
69 331.0691942634005 320.87664099057963 1.5192577841309574 [1 5] T
70 331.0691942634005 320.87664099057963 1.5192577841309574 [1 5] F
71 331.0691942634005 320.87664099057963 1.5192577841309576 [1 5] F
72 331.0691942634005 320.87664099057963 1.5192577841309576 [1 5] F
73 331.0691942634005 320.87664099057963 1.5192577841309576 [2 3] F
74 331.0691942634005 320.87664099057963 1.5192577841309576 [1 5] F
