====================================================
                MCHammer optimisation               
                ---------------------               
                    Andrew Tarzia                   
                ---------------------               
                                                    
Settings:                                           
 step size = 0.25 
 target bond length = 1.2 
 num. steps = 500 
 bond epsilon = 50 
 nonbond epsilon = 20 
 nonbond sigma = 1.2 
 nonbond mu = 3 
 beta = 2 
====================================================

There are 12 bonds to optimize.
There are 11 sub units with N atoms:
[8, 8, 8, 8, 8, 8, 8, 14, 14, 14, 14]
====================================================
                 Running optimisation!              
====================================================

step system_potential nonbond_potential max_dist opt_bbs updated?
0 15708.713386394982 3279.637355631582 6.5907833280984365 -- --
1 15708.713386394982 3279.637355631582 6.5907833280984365 (11, 70) F
2 15708.713386394982 3279.637355631582 6.5907833280984365 (10, 84) F
3 14795.976514289307 3284.9883994654488 6.5907833280984365 (19, 75) T
4 14795.976514289307 3284.9883994654488 6.5907833280984365 (16, 44) F
5 14795.976514289307 3284.9883994654488 6.5907833280984365 (27, 103) F
6 14795.976514289307 3284.9883994654488 6.5907833280984365 (10, 84) F
7 14795.976514289307 3284.9883994654488 6.5907833280984365 (2, 40) F
8 14108.349949871681 3289.444074858085 6.5907833280984365 (24, 61) T
9 14108.349949871681 3289.444074858085 6.5907833280984365 (3, 56) F
10 14108.349949871681 3289.444074858085 6.5907833280984365 (20, 98) F
11 14108.349949871681 3289.444074858085 6.5907833280984365 (8, 35) F
12 14101.815469375764 3289.1095485734922 6.5907833280984365 (3, 56) T
13 14101.815469375764 3289.1095485734922 6.5907833280984365 (0, 32) F
14 14101.815469375764 3289.1095485734922 6.5907833280984365 (0, 32) F
15 14101.815469375764 3289.1095485734922 6.5907833280984365 (10, 84) F
16 14096.60884453218 3293.0327276781236 6.5907833280984365 (27, 103) T
17 12997.015924796106 3297.997102217152 6.5907833280984365 (8, 35) T
18 12997.015924796106 3297.997102217152 6.5907833280984365 (3, 56) F
19 12997.015924796106 3297.997102217152 6.5907833280984365 (0, 32) F
20 12997.015924796106 3297.997102217152 6.5907833280984365 (19, 75) F
21 12035.487570428213 3302.166448193965 5.56277065970456 (0, 32) T
22 12035.487570428213 3302.166448193965 5.56277065970456 (8, 35) F
23 12023.75643083789 3217.8072039377985 5.634445252804935 (2, 40) T
24 11838.56932581581 3219.2408546582046 5.634445252804935 (8, 35) T
25 11838.56932581581 3219.2408546582046 5.634445252804935 (2, 40) F
26 11838.56932581581 3219.2408546582046 5.634445252804935 (3, 56) F
27 10867.510170817624 3230.5110417967153 5.634445252804935 (16, 44) T
28 10842.032421909416 3253.861723555973 5.533236084527439 (16, 44) T
29 10842.032421909416 3253.861723555973 5.533236084527439 (10, 84) F
30 10842.032421909416 3253.861723555973 5.533236084527439 (0, 32) F
31 10842.032421909416 3253.861723555973 5.533236084527439 (20, 98) F
32 10842.032421909416 3253.861723555973 5.533236084527439 (27, 103) F
33 10842.032421909416 3253.861723555973 5.533236084527439 (3, 56) F
34 10193.375869015781 3259.55465879228 5.303069129951297 (0, 32) T
35 10193.375869015781 3259.55465879228 5.303069129951297 (0, 32) F
36 9786.588670345249 3269.8155247775962 5.303069129951297 (20, 98) T
37 9657.053591961412 3270.840883626742 5.303069129951297 (11, 70) T
38 9657.053591961412 3270.840883626742 5.303069129951297 (24, 61) F
39 9657.053591961412 3270.840883626742 5.303069129951297 (19, 75) F
40 9657.053591961412 3270.840883626742 5.303069129951297 (27, 103) F
41 9529.567910440473 3288.407162659571 5.303069129951297 (19, 75) T
42 9460.28265786028 3265.108661482798 5.303069129951297 (16, 44) T
43 9460.28265786028 3265.108661482798 5.303069129951297 (10, 84) F
44 9460.28265786028 3265.108661482798 5.303069129951297 (2, 40) F
45 9171.09921902724 3287.9592620663598 5.303069129951297 (16, 44) T
46 9171.09921902724 3287.9592620663598 5.303069129951297 (0, 32) F
47 9171.09921902724 3287.9592620663598 5.303069129951297 (20, 98) F
48 9171.09921902724 3287.9592620663598 5.303069129951297 (20, 98) F
49 9171.09921902724 3287.9592620663598 5.303069129951297 (19, 75) F
50 9171.09921902724 3287.9592620663598 5.303069129951297 (8, 35) F
51 9171.09921902724 3287.9592620663598 5.303069129951297 (2, 40) F
52 9133.138489752844 3326.8757680928306 5.303069129951297 (20, 98) T
53 9133.138489752844 3326.8757680928306 5.303069129951297 (27, 103) F
54 9133.84211416364 3333.4007735706437 5.303069129951297 (20, 98) T
55 9076.23339811513 3328.433543719187 5.303069129951297 (11, 70) T
56 9076.23339811513 3328.433543719187 5.303069129951296 (24, 61) F
57 9076.23339811513 3328.433543719187 5.303069129951296 (2, 40) F
58 9076.23339811513 3328.433543719187 5.303069129951296 (19, 75) F
59 9076.23339811513 3328.433543719187 5.303069129951296 (16, 44) F
60 8999.356111006196 3335.2099510360576 5.265287295614713 (24, 61) T
61 8999.356111006196 3335.2099510360576 5.265287295614713 (19, 75) F
62 8999.356111006196 3335.2099510360576 5.265287295614713 (11, 70) F
63 8999.356111006196 3335.2099510360576 5.265287295614713 (20, 98) F
64 8999.356111006196 3335.2099510360576 5.265287295614713 (24, 61) F
65 8999.356111006196 3335.2099510360576 5.265287295614713 (27, 103) F
66 8999.356111006196 3335.2099510360576 5.265287295614713 (27, 103) F
67 7669.064921961288 3353.559072595388 5.066658465169386 (24, 61) T
68 7527.459316864971 3342.755231947952 5.066658465169386 (11, 70) T
69 7527.459316864971 3342.755231947952 5.066658465169386 (20, 98) F
70 7527.459316864971 3342.755231947952 5.066658465169386 (24, 61) F
71 7527.459316864971 3342.755231947952 5.066658465169386 (3, 56) F
72 7527.459316864971 3342.755231947952 5.066658465169386 (24, 61) F
